ID,시도명,시군구명,빽다방,스타벅스,이디야,커피빈
강릉,강원도,강릉시,2.0,4.0,17.0,0.0
고성(강원),강원도,고성군,0.0,1.0,0.0,0.0
동해,강원도,동해시,1.0,1.0,1.0,1.0
삼척,강원도,삼척시,1.0,0.0,5.0,0.0
속초,강원도,속초시,0.0,4.0,9.0,0.0
양구,강원도,양구군,0.0,0.0,1.0,0.0
양양,강원도,양양군,0.0,0.0,2.0,0.0
영월,강원도,영월군,0.0,0.0,1.0,0.0
원주,강원도,원주시,3.0,8.0,15.0,1.0
인제,강원도,인제군,0.0,2.0,3.0,0.0
정선,강원도,정선군,0.0,0.0,1.0,0.0
철원,강원도,철원군,0.0,0.0,2.0,0.0
춘천,강원도,춘천시,3.0,9.0,27.0,0.0
태백,강원도,태백시,1.0,0.0,1.0,0.0
평창,강원도,평창군,0.0,3.0,2.0,0.0
홍천,강원도,홍천군,1.0,2.0,3.0,0.0
화천,강원도,화천군,2.0,0.0,1.0,0.0
횡성,강원도,횡성군,0.0,1.0,1.0,0.0
가평,경기도,가평군,0.0,2.0,8.0,0.0
고양 덕양,경기도,덕양구,9.0,11.0,17.0,1.0
고양 일산동,경기도,일산동구,6.0,11.0,12.0,1.0
고양 일산서,경기도,일산서구,3.0,15.0,11.0,1.0
과천,경기도,과천시,0.0,3.0,2.0,0.0
광명,경기도,광명시,3.0,10.0,8.0,1.0
광주,경기도,광주시,4.0,6.0,14.0,0.0
구리,경기도,구리시,3.0,4.0,10.0,0.0
군포,경기도,군포시,9.0,5.0,7.0,1.0
김포,경기도,김포시,13.0,14.0,17.0,2.0
남양주,경기도,남양주시,7.0,12.0,43.0,1.0
동두천,경기도,동두천시,1.0,2.0,2.0,0.0
부천,경기도,부천시,13.0,16.0,26.0,5.0
성남 분당,경기도,분당구,10.0,45.0,15.0,6.0
성남 수정,경기도,수정구,6.0,3.0,11.0,1.0
성남 중원,경기도,중원구,6.0,2.0,9.0,1.0
수원 권선,경기도,권선구,4.0,8.0,11.0,1.0
수원 영통,경기도,영통구,4.0,13.0,15.0,3.0
수원 장안,경기도,장안구,5.0,4.0,4.0,3.0
수원 팔달,경기도,팔달구,5.0,8.0,6.0,2.0
시흥,경기도,시흥시,9.0,8.0,17.0,0.0
안산 단원,경기도,단원구,7.0,5.0,25.0,0.0
안산 상록,경기도,상록구,2.0,2.0,15.0,0.0
안성,경기도,안성시,0.0,6.0,4.0,0.0
안양 동안,경기도,동안구,3.0,14.0,14.0,1.0
안양 만안,경기도,만안구,7.0,4.0,9.0,1.0
양주,경기도,양주시,2.0,7.0,16.0,0.0
양평,경기도,양평군,1.0,3.0,4.0,0.0
여주,경기도,여주시,0.0,2.0,4.0,1.0
연천,경기도,연천군,0.0,0.0,1.0,2.0
오산,경기도,오산시,2.0,6.0,8.0,0.0
용인 기흥,경기도,기흥구,8.0,12.0,22.0,1.0
용인 수지,경기도,수지구,5.0,9.0,16.0,1.0
용인 처인,경기도,처인구,2.0,5.0,9.0,1.0
의왕,경기도,의왕시,3.0,2.0,4.0,0.0
의정부,경기도,의정부시,6.0,10.0,22.0,0.0
이천,경기도,이천시,2.0,8.0,9.0,1.0
파주,경기도,파주시,9.0,8.0,20.0,1.0
평택,경기도,평택시,6.0,7.0,19.0,2.0
포천,경기도,포천시,0.0,5.0,11.0,0.0
하남,경기도,하남시,3.0,10.0,27.0,1.0
화성,경기도,화성시,17.0,19.0,28.0,5.0
거제,경상남도,거제시,0.0,6.0,9.0,0.0
거창,경상남도,거창군,1.0,0.0,1.0,0.0
고성(경남),경상남도,고성군,2.0,0.0,1.0,0.0
김해,경상남도,김해시,3.0,13.0,30.0,1.0
남해,경상남도,남해군,0.0,0.0,1.0,0.0
밀양,경상남도,밀양시,0.0,3.0,6.0,0.0
사천,경상남도,사천시,0.0,2.0,4.0,0.0
산청,경상남도,산청군,0.0,1.0,1.0,0.0
양산,경상남도,양산시,1.0,7.0,9.0,0.0
진주,경상남도,진주시,10.0,7.0,18.0,1.0
창녕,경상남도,창녕군,0.0,1.0,2.0,0.0
창원 합포,경상남도,마산합포구,0.0,4.0,6.0,1.0
창원 회원,경상남도,마산회원구,0.0,6.0,4.0,0.0
창원 성산,경상남도,성산구,2.0,10.0,13.0,3.0
창원 의창,경상남도,의창구,0.0,4.0,8.0,0.0
창원 진해,경상남도,진해구,1.0,2.0,6.0,1.0
통영,경상남도,통영시,3.0,1.0,0.0,1.0
하동,경상남도,하동군,1.0,1.0,0.0,0.0
함안,경상남도,함안군,0.0,0.0,1.0,2.0
함양,경상남도,함양군,1.0,0.0,1.0,0.0
합천,경상남도,합천군,0.0,0.0,1.0,0.0
경산,경상북도,경산시,4.0,8.0,8.0,0.0
경주,경상북도,경주시,1.0,7.0,25.0,2.0
고령,경상북도,고령군,1.0,1.0,1.0,0.0
구미,경상북도,구미시,5.0,10.0,15.0,0.0
김천,경상북도,김천시,1.0,2.0,2.0,0.0
문경,경상북도,문경시,1.0,1.0,4.0,0.0
상주,경상북도,상주시,0.0,0.0,2.0,1.0
성주,경상북도,성주군,0.0,1.0,1.0,0.0
안동,경상북도,안동시,1.0,5.0,6.0,0.0
영덕,경상북도,영덕군,0.0,1.0,2.0,1.0
영양,경상북도,영양군,0.0,1.0,0.0,0.0
영주,경상북도,영주시,1.0,0.0,2.0,0.0
영천,경상북도,영천시,2.0,0.0,2.0,0.0
예천,경상북도,예천군,1.0,0.0,1.0,0.0
울진,경상북도,울진군,1.0,0.0,3.0,1.0
청도,경상북도,청도군,0.0,1.0,1.0,0.0
청송,경상북도,청송군,0.0,1.0,1.0,1.0
칠곡,경상북도,칠곡군,2.0,0.0,6.0,0.0
포항 남구,경상북도,남구,2.0,8.0,6.0,0.0
포항 북구,경상북도,북구,3.0,5.0,12.0,1.0
광주 광산,광주광역시,광산구,4.0,14.0,20.0,0.0
